company_id,pros_count,cons_count,pros,cons,recommendation
ABB,12,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share; Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,BUY
ADANIENSOL,3,2,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Poor asset utilization,HOLD
ADANIENT,1,3,Positive Earnings Per Share,Low profit margin; Weak Return on Equity; Negative Free Cash Flow,SELL
ADANIGREEN,2,2,Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
ADANIPORTS,10,2,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share; Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization; Poor asset utilization,BUY
ADANIPOWER,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
AMBUJACEM,2,1,Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow,HOLD
APOLLOHOSP,3,1,Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,Low profit margin,HOLD
ASIANPAINT,12,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share; Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,BUY
BAJAJ-AUTO,12,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share; Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,BUY
AXISBANK,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
BAJAJFINSV,3,2,High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
BAJAJHLDNG,4,1,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
BAJFINANCE,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
BANKBARODA,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
BHARTIARTL,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
BEL,5,1,Strong net profit margin; High Return on Equity; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow,HOLD
BHEL,1,5,Positive Earnings Per Share,Low profit margin; Weak Return on Equity; Negative Free Cash Flow; Poor asset utilization; Low operating margin,SELL
BOSCHLTD,3,0,High Return on Equity; Positive Free Cash Flow; Positive Earnings Per Share,,HOLD
BPCL,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
BRITANNIA,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
CANBK,3,2,High Return on Equity; Positive Free Cash Flow; Positive Earnings Per Share,Poor asset utilization; Low operating margin,HOLD
CHOLAFIN,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
CIPLA,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
COALINDIA,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
DABUR,4,0,High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
DIVISLAB,4,0,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
DLF,4,2,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Poor asset utilization,HOLD
DMART,3,2,Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,Low profit margin; Low operating margin,HOLD
DRREDDY,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
EICHERMOT,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
GAIL,3,0,Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
GODREJCP,1,4,Healthy operating margin,Low profit margin; Weak Return on Equity; Negative Free Cash Flow; Negative Earnings Per Share,SELL
GRASIM,2,2,Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
HAL,6,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
HAVELLS,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
HCLTECH,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
HDFCBANK,3,2,Strong net profit margin; Positive Free Cash Flow; Positive Earnings Per Share,Poor asset utilization; Low operating margin,HOLD
HDFCLIFE,2,3,Healthy operating margin; Positive Earnings Per Share,Low profit margin; Negative Free Cash Flow; Poor asset utilization,SELL
HEROMOTOCO,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
HINDALCO,3,2,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Low profit margin; Weak Return on Equity,HOLD
HINDUNILVR,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
ICICIBANK,4,2,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Positive Earnings Per Share,Poor asset utilization; Low operating margin,HOLD
ICICIGI,4,1,High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
ICICIPRULI,2,4,Positive Free Cash Flow; Positive Earnings Per Share,Low profit margin; Weak Return on Equity; Poor asset utilization; Low operating margin,SELL
INDUSINDBK,3,2,Strong net profit margin; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
INFY,6,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
IOC,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
IRCTC,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
IRFC,4,1,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
ITC,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
JINDALSTEL,2,1,Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow,HOLD
