company_id,type,rule_id,text,confidence_pct
ABB,PRO,P001,Strong net profit margin,95
ABB,PRO,P002,High Return on Equity,95
ABB,PRO,P003,Positive Free Cash Flow,90
ABB,PRO,P004,Efficient asset utilization,85
ABB,PRO,P005,Healthy operating margin,90
ABB,PRO,P006,Positive Earnings Per Share,80
ABB,PRO,P001,Strong net profit margin,95
ABB,PRO,P002,High Return on Equity,95
ABB,PRO,P003,Positive Free Cash Flow,90
ABB,PRO,P004,Efficient asset utilization,85
ABB,PRO,P005,Healthy operating margin,90
ABB,PRO,P006,Positive Earnings Per Share,80
ADANIENSOL,PRO,P003,Positive Free Cash Flow,90
ADANIENSOL,PRO,P005,Healthy operating margin,90
ADANIENSOL,PRO,P006,Positive Earnings Per Share,80
ADANIENT,PRO,P006,Positive Earnings Per Share,80
ADANIGREEN,PRO,P005,Healthy operating margin,90
ADANIGREEN,PRO,P006,Positive Earnings Per Share,80
ADANIPORTS,PRO,P001,Strong net profit margin,95
ADANIPORTS,PRO,P002,High Return on Equity,95
ADANIPORTS,PRO,P003,Positive Free Cash Flow,90
ADANIPORTS,PRO,P005,Healthy operating margin,90
ADANIPORTS,PRO,P006,Positive Earnings Per Share,80
ADANIPORTS,PRO,P001,Strong net profit margin,95
ADANIPORTS,PRO,P002,High Return on Equity,95
ADANIPORTS,PRO,P003,Positive Free Cash Flow,90
ADANIPORTS,PRO,P005,Healthy operating margin,90
ADANIPORTS,PRO,P006,Positive Earnings Per Share,80
ADANIPOWER,PRO,P001,Strong net profit margin,95
ADANIPOWER,PRO,P002,High Return on Equity,95
ADANIPOWER,PRO,P003,Positive Free Cash Flow,90
ADANIPOWER,PRO,P005,Healthy operating margin,90
ADANIPOWER,PRO,P006,Positive Earnings Per Share,80
AMBUJACEM,PRO,P005,Healthy operating margin,90
AMBUJACEM,PRO,P006,Positive Earnings Per Share,80
APOLLOHOSP,PRO,P003,Positive Free Cash Flow,90
APOLLOHOSP,PRO,P004,Efficient asset utilization,85
APOLLOHOSP,PRO,P006,Positive Earnings Per Share,80
ASIANPAINT,PRO,P001,Strong net profit margin,95
ASIANPAINT,PRO,P002,High Return on Equity,95
ASIANPAINT,PRO,P003,Positive Free Cash Flow,90
ASIANPAINT,PRO,P004,Efficient asset utilization,85
ASIANPAINT,PRO,P005,Healthy operating margin,90
ASIANPAINT,PRO,P006,Positive Earnings Per Share,80
ASIANPAINT,PRO,P001,Strong net profit margin,95
ASIANPAINT,PRO,P002,High Return on Equity,95
ASIANPAINT,PRO,P003,Positive Free Cash Flow,90
ASIANPAINT,PRO,P004,Efficient asset utilization,85
